데이터셋,파일,행수,기준시점,분석단위,분석역할,판정,핵심키,주요한계
장기요양 등급판정 수요범위,data/analysis_ready/ltci_demand_sigungu_bounds_202605.csv,235,2026-05-31,시군구,핵심 수요,조건부 사용,시도+시군구,"5명 미만 비공개값은 정확값이 없어 1~4명 범위로 분석; 현행 실질 지역 229개"
65세 이상 인구 시군구 집계,data/analysis_ready/elderly_population_sigungu_202606.csv,255,2026-06-30,원자료 시군구·일반구,잠재수요 분모,바로 사용,주민등록_시군구코드,"도시의 일반구가 분리되어 수요자료의 시 단위와 맞춰 재집계 필요"
65세 이상 1인세대 시군구 집계,data/analysis_ready/elderly_single_person_households_sigungu_202606.csv,255,2026-06-30,원자료 시군구·일반구,취약수요 대리변수,조건부 사용,법정동_시군구코드,"실제 사회적 고립·돌봄부재가 아니라 주민등록 1인세대"
장기요양 공급 시군구·서비스유형 집계,data/analysis_ready/ltci_supply_sigungu_service_type_20260610.csv,3600,2026-06-10,실제 소재지 시군구×기관유형,핵심 공급·자원배치 시뮬레이션,바로 사용,시설_지역코드+기관유형코드,"정원 0은 방문형 등 무정원 서비스 포함; 기관 전체 인력 합산 시 복수 급여유형 간 중복 가능"
장기요양 시설 일반현황,data/processed/ltci_facility_status_20260610/ltci_facility_general_20260610.csv,53222,2026-06-10,기관×공시행,지리·기관 기준,바로 사용,장기요양기관코드,"기관코드 중복행이 있어 기관 수는 고유코드로 계산"
장기요양 시설 정원,data/processed/ltci_facility_status_20260610/ltci_facility_capacity_20260610.csv,43581,2026-06-10,기관×급여유형,서비스 공급량,바로 사용,장기요양기관코드+기관유형코드,"정원 결측 25행; 현원·대기자 없음"
장기요양 시설 인력,data/processed/ltci_facility_status_20260610/ltci_facility_staff_20260610.csv,50312,2026-06-10,기관×급여유형,직종별 공급량,조건부 사용,장기요양기관코드+기관유형코드,"복수 급여유형 기관의 동일 종사자 중복 신고 가능성"
장기요양기관 검색,data/processed/ltci_institutions_search_nationwide_20260722.csv,45697,2026-07-22 수집,기관×급여유형,기관·급여유형 보조,조건부 사용,장기요양기관코드+기관유형코드,"API 지역코드는 실제 소재지와 다른 관할 코드 사례가 있어 지리키로 사용 금지"
장기요양 현원 표본,data/processed/ltci_detail_sample/ltci_detail_occupancy_sample.csv,1600,2026-07-22 수집,시도 할당표본 기관×급여유형,가동률 산식·API 검증,참고용,장기요양기관코드+기관유형코드,"시도별 앞쪽 기관을 순환선정한 비확률표본이라 전국·시군구 가동률 추정에 부적합"
장기요양 과거 정원·현원 전수,data/processed/ltci_facility_status_20250401/ltci_facility_occupancy_20250401.csv,34083,2025-04-01,기관×급여유형,과거 가동률 기준,조건부 사용,장기요양기관코드+기관유형코드,"2026년 현재값이 아님; 방문형 현원은 정원 대비 가동률로 해석 금지"
장기요양 과거 지역·서비스별 가동률,data/analysis_ready/ltci_historical_occupancy_sigungu_service_type_20250401.csv,2945,2025-04-01,시군구×기관유형,가동률 민감도 가정,조건부 사용,시설_지역코드+기관유형코드,"가동률해석가능=True인 입소·주야간·단기·치매전담 유형만 사용"
기관 평가 결과,data/processed/ltci_institution_evaluation_results_20260625.csv,27947,2021-2025 평가,기관×평가회차·유형,품질 제약,조건부 사용,평가기관기호+급여종류,"서비스유형별 평가연도가 달라 동일시점 비교 불가; 시설코드와 직접 결합 검증 필요"
요양병원 공급,data/analysis_ready/hira_nursing_hospital_supply_sigungu_20260723.csv,235,2026-07-23 수집,시군구,의료연계 보조,보조지표,시도명+시군구명,"장기요양 공급에 합산 금지"
SGIS 행정구역 코드,data/processed/sgis_admin_code_202506.csv,3559,2025-06,행정동,경계·지역명 연결,바로 사용,시도코드+시군구코드+읍면동코드,"SGIS 자체 코드체계이므로 장기요양·법정동 코드와 숫자 직접결합 금지"
현재 법정동 코드,data/raw/legal_dong_codes_20260630.csv,20560,2026-06-30,법정동,최신 코드 변경 확인,시점주의,법정동코드,"2026-06-30 신설 전남광주통합특별시 3204행이 같은 달 기존 통계 체계와 불일치"
장기요양 수요 연말 패널,data/analysis_ready/ltci_demand_sigungu_year_end_2022_2025.csv,920,2022-2025 연말,시군구×연도,구조적 수요추세,조건부 사용,기준일+시도+시군구,"2022년과 최근 파일의 5명 미만 공개규칙 차이"
고령인구 연말 패널,data/analysis_ready/elderly_population_sigungu_year_end_2022_2025.csv,1004,2022-2025 연말,시군구·일반구×연도,수요 증가율,바로 사용,기준일+시도명+시군구명,"2024년부터 지역 수가 250에서 252로 변해 현행 시 단위 재집계 필요"
고령 1인세대 연말 패널,data/analysis_ready/elderly_single_households_sigungu_year_end_2022_2025.csv,1004,2022-2025 연말,시군구·일반구×연도,취약수요 증가율,조건부 사용,기준일+시도명+시군구명,"1인세대는 실제 고립·돌봄부재의 대리변수"
장기요양 공급 스냅샷 패널,data/analysis_ready/ltci_supply_snapshots_202310_202606.csv,18567,2023-10~2026-06 불규칙 시점,시군구×기관유형×시점,공급 변화·시뮬레이션 범위,조건부 사용,기준일+시설_지역코드+기관유형코드,"2023 총량 구조단절 가능성; 2026 현원 없음; 동일 유형코드만 비교"
