점검항목,상태,관측값,판정기준,필요조치
통계 패키지 로딩,PASS,"{""python"": ""3.13.1"", ""numpy"": ""2.5.1"", ""pandas"": ""2.3.3"", ""scipy"": ""1.18.0"", ""matplotlib"": ""3.11.1""}",Python·NumPy·pandas·SciPy·Matplotlib 버전 기록,
분석지역 수,PASS,229,229개,
서비스별 지역 관측 완전성,PASS,미충족 서비스 0개,각 서비스 229개 지역,
핵심지표 분산,PASS,분산 0 서비스 0개,통계 비교 대상은 분산이 0보다 큼,
완전 관측쌍,PASS,30개 미만 서비스 0개,서비스별 최소 30개,부족한 서비스는 추론통계 제외
수요 하한·상한 순위 안정성,WARN,Spearman 0.95 미만 서비스 1개,서비스별 하한·상한 지역순위 상관 ≥0.95,불안정 서비스는 후보 확정 금지
동률 비율,WARN,동률 50% 초과 서비스 25개,순위검정의 동률 정도 확인,동률이 많은 희소서비스는 기술통계 중심
다중검정 계획,PASS,최대 서비스별 검정 39개,Benjamini-Hochberg FDR,보정 전·후 p값과 효과크기를 함께 저장
추론통계 해석 범위,PASS,전국 행정자료이므로 기술통계·효과크기·민감도를 우선하고 p값은 탐색적으로만 사용,행정자료는 기술통계·민감도 우선,통계적 유의성을 인과효과로 표현 금지
난수 재현성,PASS,20260723,부트스트랩·모의실험 난수 시드 고정,
