범주,점검항목,상태,관측값,판정기준,필요조치
파일·스키마,demand_current 필수 컬럼,PASS,필수 컬럼 확인,필수 컬럼과 키가 모두 존재,
파일·스키마,demand_current 원본키 중복,PASS,0,중복키 0건,
파일·스키마,population_current 필수 컬럼,PASS,필수 컬럼 확인,필수 컬럼과 키가 모두 존재,
파일·스키마,population_current 원본키 중복,PASS,0,중복키 0건,
파일·스키마,single_household_current 필수 컬럼,PASS,필수 컬럼 확인,필수 컬럼과 키가 모두 존재,
파일·스키마,single_household_current 원본키 중복,PASS,0,중복키 0건,
파일·스키마,supply_current 필수 컬럼,PASS,필수 컬럼 확인,필수 컬럼과 키가 모두 존재,
파일·스키마,supply_current 원본키 중복,PASS,0,중복키 0건,
파일·스키마,demand_panel 필수 컬럼,PASS,필수 컬럼 확인,필수 컬럼과 키가 모두 존재,
파일·스키마,demand_panel 원본키 중복,PASS,0,중복키 0건,
파일·스키마,population_panel 필수 컬럼,PASS,필수 컬럼 확인,필수 컬럼과 키가 모두 존재,
파일·스키마,population_panel 원본키 중복,PASS,0,중복키 0건,
파일·스키마,single_household_panel 필수 컬럼,PASS,필수 컬럼 확인,필수 컬럼과 키가 모두 존재,
파일·스키마,single_household_panel 원본키 중복,PASS,0,중복키 0건,
파일·스키마,supply_snapshots 필수 컬럼,PASS,필수 컬럼 확인,필수 컬럼과 키가 모두 존재,
파일·스키마,supply_snapshots 원본키 중복,PASS,0,중복키 0건,
파일·스키마,historical_occupancy 필수 컬럼,PASS,필수 컬럼 확인,필수 컬럼과 키가 모두 존재,
파일·스키마,historical_occupancy 원본키 중복,PASS,0,중복키 0건,
재현성,동일 입력 2회 전처리 결과,PASS,True,핵심 컬럼 완전 일치,
분석단위,지역×서비스 완전격자,PASS,"8,931/8,931행",지역 수×서비스 수와 행 수 일치,
분석단위,전처리 후 지역×서비스 중복,PASS,0,중복 0건,
총량검산,공급 집계 전후 총량,PASS,"{""기관수"": 0.0, ""정원"": 0.0, ""사회복지사"": 0.0, ""간호사"": 0.0, ""간호조무사"": 0.0, ""물리치료사"": 0.0, ""작업치료사"": 0.0, ""요양보호사"": 0.0}",기관·정원·직종별 차이 0,
지표산식,0 이하 분모,PASS,"{""인정자_추정중앙"": 0, ""75세이상인구"": 0, ""65세이상1인세대"": 0}",모든 핵심 분모가 양수,
지표산식,무한값,PASS,0,무한값 0건,
불확실성,인정자 비공개값 범위,WARN,"비공개셀 18,446개, 전국 하한 1,248,429, 상한 1,303,767, 범위폭/중앙 4.34%",하한·중앙·상한 민감도 필수,단일 인정자 값으로 확정하지 않음
패널완전성,demand 2022~2025 관측,PASS,4개년 미충족 지역 0개,각 분석지역 4개년,행정구역 변경지역은 현행 시 단위 재집계
패널완전성,population 2022~2025 관측,PASS,4개년 미충족 지역 0개,각 분석지역 4개년,행정구역 변경지역은 현행 시 단위 재집계
패널완전성,single_household 2022~2025 관측,PASS,4개년 미충족 지역 0개,각 분석지역 4개년,행정구역 변경지역은 현행 시 단위 재집계
시점정합성,현재자료 기준일 차이,PASS,"30일; 수요=2026-05-31, 공급=2026-06-10, 인구=2026-06-30, 1인세대=2026-06-30",최대 31일 이내,
서비스규칙,정원지표 사용 제한,WARN,"조건부 16개 유형, 정원 비적용 8개 유형",서비스별 규칙 적용,정원 사용가능 유형만 정원지표 계산
외부자료,실제 부족·현실 배치 검증자료,WARN,"2026년 현재 현원, 대기자·이용거절, 고유 FTE·결원, 이동시간·송영권역, 지역별 비용·운영제약",공개자료에 없는 항목,현장검증 전 확정 배치·인과효과 표현 금지
